epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2213.52,0.49658,0.7251,0.89148,0.95842,0.96866,0.99295,0.9463,0.36232,0.58665,0.82753,0.0002971,0.0002971,0.0002971
73,2245.72,0.44838,0.67723,0.86831,0.95842,0.96866,0.99295,0.9463,0.36232,0.58665,0.82753,0.0002872,0.0002872,0.0002872
74,2276.36,0.43341,0.60927,0.83467,0.95802,0.9776,0.99317,0.94546,0.38247,0.58007,0.83108,0.0002773,0.0002773,0.0002773
75,2307.1,0.48253,0.63772,0.85946,0.96107,0.97647,0.99317,0.9463,0.39221,0.58206,0.83179,0.0002674,0.0002674,0.0002674
76,2336.98,0.48818,0.65894,0.82051,0.96373,0.97574,0.99317,0.93401,0.38539,0.58154,0.83059,0.0002575,0.0002575,0.0002575
77,2367.15,0.4475,0.57768,0.86661,0.96373,0.97574,0.99317,0.93401,0.38539,0.58154,0.83059,0.0002476,0.0002476,0.0002476
78,2397.71,0.46948,0.61602,0.89495,0.95993,0.97593,0.99317,0.934,0.37031,0.57557,0.82873,0.0002377,0.0002377,0.0002377
79,2428.07,0.47731,0.65962,0.8605,0.95576,0.97453,0.99317,0.95366,0.35385,0.56515,0.82696,0.0002278,0.0002278,0.0002278
80,2458.09,0.43171,0.58809,0.82034,0.95624,0.97291,0.99317,0.95672,0.34774,0.56066,0.82675,0.0002179,0.0002179,0.0002179
81,2487.66,0.49511,0.72904,0.8983,0.95624,0.97291,0.99317,0.95672,0.34774,0.56066,0.82675,0.000208,0.000208,0.000208
82,2517.01,0.44979,0.61881,0.85422,0.95418,0.97138,0.99317,0.9669,0.34377,0.55522,0.82646,0.0001981,0.0001981,0.0001981
83,2546.54,0.43118,0.57534,0.82872,0.95662,0.9664,0.99317,0.96948,0.34252,0.5497,0.82563,0.0001882,0.0001882,0.0001882
84,2575.2,0.44104,0.63745,0.82469,0.94213,0.98861,0.99317,0.97138,0.35135,0.55624,0.82548,0.0001783,0.0001783,0.0001783
85,2605.19,0.45749,0.69347,0.8498,0.94213,0.98861,0.99317,0.97138,0.35135,0.55624,0.82548,0.0001684,0.0001684,0.0001684
86,2634.05,0.4464,0.6132,0.87142,0.9471,0.98893,0.99317,0.9554,0.35426,0.56093,0.82455,0.0001585,0.0001585,0.0001585
87,2662.26,0.42255,0.56469,0.84328,0.97317,0.99098,0.995,0.97436,0.34844,0.55611,0.82244,0.0001486,0.0001486,0.0001486
88,2690.88,0.41483,0.66632,0.86412,0.96455,0.9942,0.995,0.97483,0.3387,0.55,0.81975,0.0001387,0.0001387,0.0001387
89,2721.08,0.43627,0.59425,0.84725,0.96455,0.9942,0.995,0.97483,0.3387,0.55,0.81975,0.0001288,0.0001288,0.0001288
90,2751.89,0.42025,0.65852,0.85046,0.95875,0.99685,0.995,0.97448,0.33241,0.54898,0.81918,0.0001189,0.0001189,0.0001189
91,2781.72,0.47337,0.70767,0.84109,0.95718,0.99756,0.995,0.97324,0.32868,0.55341,0.81887,0.000109,0.000109,0.000109
92,2810.82,0.43844,0.70448,0.79611,0.95929,0.99777,0.995,0.97373,0.33107,0.56435,0.81943,9.91e-05,9.91e-05,9.91e-05
93,2840.68,0.40259,0.66531,0.81394,0.95929,0.99777,0.995,0.97373,0.33107,0.56435,0.81943,8.92e-05,8.92e-05,8.92e-05
94,2869.37,0.40957,0.68292,0.84144,0.96142,0.99136,0.995,0.97508,0.33764,0.57479,0.8203,7.93e-05,7.93e-05,7.93e-05
95,2898.77,0.35119,0.93734,0.72546,0.96049,0.9924,0.995,0.97375,0.33964,0.58337,0.82049,6.94e-05,6.94e-05,6.94e-05
96,2928.64,0.39419,0.76843,0.77479,0.95907,0.99638,0.995,0.97341,0.33698,0.58901,0.82014,5.95e-05,5.95e-05,5.95e-05
97,2959.2,0.43843,0.82152,0.88412,0.95907,0.99638,0.995,0.97341,0.33698,0.58901,0.82014,4.96e-05,4.96e-05,4.96e-05
98,2988.56,0.43191,0.75212,0.77341,0.9585,0.99928,0.995,0.97463,0.33442,0.58974,0.81964,3.97e-05,3.97e-05,3.97e-05
99,3019.11,0.41903,0.65294,0.76637,0.95482,0.99991,0.995,0.97396,0.32881,0.58511,0.81878,2.98e-05,2.98e-05,2.98e-05
100,3049.44,0.36944,0.6587,0.7928,0.95508,0.99852,0.995,0.97487,0.32551,0.58141,0.81827,1.99e-05,1.99e-05,1.99e-05
